intern_id,score,domain
1,83,Web Development
2,85,Web Development
3,83,Cybersecurity
4,67,Cybersecurity
5,86,UI/UX Design
7,95,Cybersecurity
8,70,Mobile App Development
9,79,Data Science
10,83,UI/UX Design
11,80,Mobile App Development
12,79,UI/UX Design
14,83,Web Development
15,79,Web Development
16,90,Data Science
17,90,Data Science
18,65,Mobile App Development
20,69,Web Development
22,80,Cybersecurity
24,89,UI/UX Design
25,77,Cybersecurity
26,81,Mobile App Development
27,72,Cybersecurity
28,67,UI/UX Design
29,75,Mobile App Development
30,80,Mobile App Development
31,72,Data Science
34,69,Data Science
36,84,Data Science
37,85,Cybersecurity
38,57,Cybersecurity
39,91,Mobile App Development
40,85,UI/UX Design
41,84,Mobile App Development
42,75,UI/UX Design
44,60,Data Science
45,90,Mobile App Development
46,88,Web Development
47,60,Data Science
48,87,Web Development
49,78,Web Development
50,86,UI/UX Design
53,81,Data Science
56,63,Cybersecurity
57,64,Data Science
58,69,UI/UX Design
59,77,Cybersecurity
60,92,Mobile App Development
61,82,Data Science
